container_index,schema,Table Name,Table Description,,Elaborated Table Description,Column #,prefix,Field,Field Description,report,category,Data Type,Length,Decimals,Nullable,Edit Type,Elaborated Field Description
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",6,NN,NNUD05,Use Description 05,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the fifth next number slot (NNN005) for this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",7,NN,NNUD06,Use Description 06,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the sixth next number slot (NNN006) for this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",8,NN,NNUD07,Use Description 07,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the seventh next number slot (NNN007) for this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",9,NN,NNUD08,Use Description 08,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the eighth next number slot (NNN008) for this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",10,NN,NNUD09,Use Description 09,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the ninth next number slot (NNN009) for this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",11,NN,NNUD10,Use Description 10,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the tenth next number slot (NNN010) for this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",12,NN,NNN001,Next Number Range 1,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,"The current next available sequential number for the first numbering series in this product code (e.g., next invoice number). JDE automatically increments this value each time a new document is created."
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",13,NN,NNN002,Next Number Range 2,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,The current next available number for the second numbering series. Used for a different document type or sub-series within the same product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",14,NN,NNN003,Next Number 003,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the third numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",15,NN,NNN004,Next Number 004,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the fourth numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",16,NN,NNN005,Next Number 005,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the fifth numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",17,NN,NNN006,Next Number 006,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the sixth numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",18,NN,NNN007,Next Number 007,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the seventh numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",19,NN,NNN008,Next Number 008,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the eighth numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",20,NN,NNN009,Next Number 009,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the ninth numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",21,NN,NNN010,Next Number 010,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,Next available sequential number for the tenth numbering slot within this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",22,NN,NNCK01,Check Digit 01,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,"A Y/N flag indicating whether check digit validation is enabled for the first numbering series. When active, JDE appends a calculated check digit to detect data entry or transmission errors."
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",23,NN,NNCK02,Check Digit 02,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the second numbering series. Enables mathematical validation on generated document numbers to catch transcription errors.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",24,NN,NNCK03,Check Digit 03,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the third numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",25,NN,NNCK04,Check Digit 04,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the fourth numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",26,NN,NNCK05,Check Digit 05,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the fifth numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",27,NN,NNCK06,Check Digit 06,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the sixth numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",28,NN,NNCK07,Check Digit 07,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the seventh numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",29,NN,NNCK08,Check Digit 08,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the eighth numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",30,NN,NNCK09,Check Digit 09,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the ninth numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",31,NN,NNCK10,Check Digit 10,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,Check digit flag for the tenth numbering series.
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",1,NL,NLKCO,Document Company,General Accounting,Control Tables,String,5,0,Y,Generic Edit,"The JDE Company code (e.g., '00001') to which this next number sequence belongs. Allows each legal entity or company to maintain its own independent document numbering."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",2,NL,NLDCT,Document Type,General Accounting,Control Tables,String,2,0,Y,UDC (00 DT),"A two-character code identifying the document type (e.g., 'RI' for AR Invoice, 'OV' for Sales Order) that this next number sequence controls. Each document type can have its own sequential counter."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",3,NL,NLCTRY,Century,General Accounting,Control Tables,Numeric,2,0,Y,Generic Edit,"The century portion of the fiscal year (e.g., '20' for 2000s). Combined with NLFY to identify the exact fiscal year for which this number sequence applies."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",4,NL,NLFY,Fiscal Year,General Accounting,Control Tables,Numeric,2,0,Y,Generic Edit,"The two-digit fiscal year (e.g., '24' for 2024) associated with this next number sequence. Allows document numbering to reset or start fresh each fiscal year."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",5,NL,NLSMAS,Same-As Document Type,General Accounting,Control Tables,String,2,0,Y,UDC (00 DT),"Specifies another document type whose next number sequence this record should use. When set, JDE shares the same counter across multiple document types instead of maintaining separate sequences."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",6,NL,NLN001,Next Number Range 1,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,The current next available sequential number for this company/fiscal year/document type combination. JDE reads and increments this value every time a new document of this type is created.
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",7,NL,NLAUR,Auto-Reset Next Numbers,General Accounting,Control Tables,Numeric,8,0,Y,Generic Edit,"Controls whether the next number sequence automatically resets at the start of a new fiscal year. When enabled, document numbering restarts from the beginning each year."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",8,NL,NLIMB,Imbed Digits,General Accounting,Control Tables,Character,1,0,Y,UDC (H00 IM),"A flag indicating whether JDE should embed the fiscal year or period digits inside the generated document number (e.g., producing '2400001' where '24' is the year). Useful for making document numbers self-descriptive."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",9,NL,NLCK01,Check Digit 01,General Accounting,Control Tables,Character,1,0,Y,Generic Edit,"Enables check digit validation for this company/fiscal year/document type sequence, adding a calculated digit to the generated number to detect entry or transmission errors."
1,920,F00021,Next Numbers by Company/Fiscal Year - Automatic,,"An extension of F0002 that controls next number sequences at the company and fiscal year level, enabling unique document numbering per legal entity and accounting period. Supports same-as document type sequencing, auto-reset, and digit embedding (encoding year/period into the generated number).",10,NL,NLSEQ,Sequence Number,General Accounting,Control Tables,Numeric,6,0,Y,Generic Edit,"An internal sequence number used to order or prioritize records within this next number configuration, particularly when multiple rows match the same company/document type."
1,920,F00022,Unique Key File - Next Available Unique Key,,A simple two-field universal sequence generator table that tracks the next available internal unique key for any given JDE object or table. Used across all JDE modules to generate internal surrogate keys without collision.,1,UK,UKOBNM,Object Name,Inventory Management,Business Data,String,10,0,Y,Generic Edit,The name of the JDE table or object that requires a unique internal key. Acts as the lookup key to find the correct next-number counter for that specific object.
1,920,F00022,Unique Key File - Next Available Unique Key,,A simple two-field universal sequence generator table that tracks the next available internal unique key for any given JDE object or table. Used across all JDE modules to generate internal surrogate keys without collision.,2,UK,UKUKID,Unique Key ID (Internal),Inventory Management,Business Data,Numeric,15,0,Y,Generic Edit,The next available unique internal identifier (surrogate key) for the referenced JDE object. JDE reads and increments this value to generate collision-free primary keys across all records.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",1,DN,DNTHRDUSER,Third Party UserID,CRM Foundation,System Tables,String,255,0,Y,Generic Edit,The user ID or identifier of a third-party system connecting to JDE for distributed next number generation. Used in integration scenarios where external applications request document numbers from JDE.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",2,DN,DNSY,Product Code,CRM Foundation,System Tables,String,4,0,Y,UDC (98 SY),"The JDE System/Product Code identifying which JDE module owns this distributed next number sequence (e.g., '01' for Address Book, '03' for Accounts Receivable)."
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",3,DN,DNORNN,Order Type Next Number,CRM Foundation,System Tables,Numeric,2,0,Y,Generic Edit,Specifies the order type associated with this next number entry. Used to differentiate number sequences for different types of orders or transactions within a distributed environment.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",4,DN,DNKCO,Document Company,CRM Foundation,System Tables,String,5,0,Y,Generic Edit,The company code for which this distributed next number record applies. Ensures that document numbers remain unique and separate per legal entity in a multi-company setup.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",5,DN,DNDCT,Document Type,CRM Foundation,System Tables,String,2,0,Y,UDC (00 DT),"The document type code (e.g., 'OV', 'RI') this distributed next number record controls. Determines which kind of JDE document will consume numbers from this sequence."
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",6,DN,DNCTRY,Century,CRM Foundation,System Tables,Numeric,2,0,Y,Generic Edit,The century component of the fiscal year for this distributed next number record. Combined with DNFY to fully define the fiscal period scope of the numbering sequence.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",7,DN,DNFY,Fiscal Year,CRM Foundation,System Tables,Numeric,2,0,Y,Generic Edit,The two-digit fiscal year for this distributed sequence record. Allows fiscal-year-based number resets in distributed server environments.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",8,DN,DNOBNM,Object Name,CRM Foundation,System Tables,String,10,0,Y,Generic Edit,The JDE object or table name associated with this distributed next number entry. Identifies which JDE entity the number sequence belongs to.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",9,DN,DNSMAS,Same-As Document Type,CRM Foundation,System Tables,String,2,0,Y,UDC (00 DT),"Same-As Document Type for distributed numbering: when set, this sequence shares its counter with another document type, avoiding duplicate numbering configurations."
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",10,DN,DNUD01,Use Description 01,CRM Foundation,System Tables,String,15,0,Y,Generic Edit,A user-defined label describing the purpose of this distributed next number slot. Helps administrators understand what document type or process uses this particular sequence.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",11,DN,DNIDEX,Index,CRM Foundation,System Tables,Numeric,2,0,Y,Generic Edit,"An internal index value used to distinguish between multiple next number entries that share the same key fields (company, document type, fiscal year). Ensures record uniqueness."
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",12,DN,DNN001,Next Number Range 1,CRM Foundation,System Tables,Numeric,8,0,Y,Generic Edit,The current next available number in the first range of this distributed sequence. Each application server claims a block from this range to generate numbers locally without database contention.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",13,DN,DNUKID,Unique Key ID (Internal),CRM Foundation,System Tables,Numeric,15,0,Y,Generic Edit,The unique internal key ID for the first number range in this distributed record. Used by JDE internally to track and lock the range during number allocation.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",14,DN,DNCNR1,Remaining in Range 1,CRM Foundation,System Tables,Numeric,15,0,Y,Generic Edit,"Tracks how many numbers remain available in the first allocated range. When this count reaches zero, the server must claim a new block from the central table."
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",15,DN,DNN002,Next Number Range 2,CRM Foundation,System Tables,Numeric,8,0,Y,Generic Edit,The starting point of the second number range allotted to this distributed sequence. Provides a fallback or overflow range when the first range is exhausted.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",16,DN,DNUKD2,UniqueKey2,CRM Foundation,System Tables,Numeric,15,0,Y,Generic Edit,The unique internal key ID for the second number range. Used to manage locking and tracking of the second range during distributed number allocation.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",17,DN,DNCNR2,Remaining in Range 2,CRM Foundation,System Tables,Numeric,15,0,Y,Generic Edit,The count of remaining numbers in the second allocated range. Monitored to trigger re-allotment before the range is fully consumed.
1,920,F00023,Distributed Next Number Table,,"Advanced next number management for distributed/multi-server JDE environments. Extends F0002/F00021 with dual number ranges, allotment blocks (claimed per server), remaining counts, warning levels, and enable/disable flag. Prevents number collisions when multiple application servers generate document numbers simultaneously.",18,DN,DNRANG,Allotment,CRM Foundation,System Tables,Numeric,8,0,Y,Generic Edit,The size of the block (allotment) of numbers claimed by a server at one time. Larger allotments reduce database round-trips; smaller allotments reduce gaps in numbering if a server crashes.
